eval_dataset,codec,param,pipeline,n_images,n_repeats,avg_bpp,avg_psnr,rate_quality_source,total_time_s,energy_cpu_total_j,energy_gpu_total_j,energy_total_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_per_image_j,idle_cpu_w,idle_gpu_w,params_M,is_neural,execution_mode,jpeg_ai_root,conda_env
tecnick,JPEG_AI,target_bpp=0.75,fair_inprocess_end_to_end_energy,24,1,0.773274537,42.134584904,paper_ready,320.045356813,6482.657715342,0.0,6482.657715342,270.110738139263,0.0,270.110738139263,20.349236316,37.107351218,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
tecnick,JPEG_AI,target_bpp=1.0,fair_inprocess_end_to_end_energy,24,1,0.959246759,43.215316614,paper_ready,321.797635106,6676.727951866,210.080920718,6886.808872584,278.196997994411,8.753371696603,286.950369691014,20.124102435,35.365455919,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
div2k_valid,JPEG,q=10,end_to_end_energy,24,20,0.308196865,27.260127147,paper_ready,2.920405879,53.880328263,0.0,53.880328263,0.11225068388,0.0,0.11225068388,25.333862416,82.07396084,0.0,False,,,
div2k_valid,JPEG,q=30,end_to_end_energy,24,20,0.601781136,31.159674486,paper_ready,3.425368861,60.460221917,0.0,60.460221917,0.125958795661,0.0,0.125958795661,25.50806311,82.039820575,0.0,False,,,
div2k_valid,JPEG,q=60,end_to_end_energy,24,20,0.939552706,33.402490775,paper_ready,3.889253537,49.663117068,0.0,49.663117068,0.103464827224,0.0,0.103464827224,25.361735355,77.701924865,0.0,False,,,
div2k_valid,JPEG,q=85,end_to_end_energy,24,20,1.674074231,36.414261977,paper_ready,4.764273528,78.860583907,0.0,78.860583907,0.164292883139,0.0,0.164292883139,20.866241938,39.278208577,0.0,False,,,
div2k_valid,JXL,d=1.0,end_to_end_energy,24,10,1.430134706,37.338856697,paper_ready,50.024774766,959.524253959,0.0,959.524253959,3.998017724831,0.0,3.998017724831,21.195242797,39.19722886,0.0,False,,,
div2k_valid,JXL,d=3.0,end_to_end_energy,24,10,0.636384958,33.467981021,paper_ready,46.256434491,903.00697285,0.0,903.00697285,3.762529053543,0.0,3.762529053543,21.071573606,39.134742961,0.0,False,,,
div2k_valid,JXL,d=7.0,end_to_end_energy,24,10,0.325930921,30.443607966,paper_ready,58.21998725,1197.837110333,0.0,1197.837110333,4.99098795972,0.0,4.99098795972,20.642785827,39.102400033,0.0,False,,,
div2k_valid,JXL,d=12.0,end_to_end_energy,24,10,0.211750529,28.66910704,paper_ready,57.715099728,1190.056929809,0.0,1190.056929809,4.958570540869,0.0,4.958570540869,20.564645245,38.811762748,0.0,False,,,
div2k_valid,HEVC,crf=15,end_to_end_energy,24,3,3.170640667,44.212365945,paper_ready,35.633597494,1712.653490693,0.0,1712.653490693,23.786854037409,0.0,23.786854037409,20.568857872,37.293828142,0.0,False,,,
div2k_valid,HEVC,crf=25,end_to_end_energy,24,3,1.258495186,38.304837863,paper_ready,23.543547501,1262.271260222,0.0,1262.271260222,17.531545280859,0.0,17.531545280859,20.48188132,37.597987543,0.0,False,,,
div2k_valid,HEVC,crf=35,end_to_end_energy,24,3,0.419349865,32.525583665,paper_ready,16.06887722,951.385373958,0.0,951.385373958,13.213685749416,0.0,13.213685749416,20.411629049,37.809636482,0.0,False,,,
div2k_valid,HEVC,crf=45,end_to_end_energy,24,3,0.112516043,27.308317741,paper_ready,12.068444956,752.625994554,0.0,752.625994554,10.453138813248,0.0,10.453138813248,20.484035296,37.607102302,0.0,False,,,
div2k_valid,Ballé,q=1,actual_bitstream_energy,24,5,0.12705948,28.518456856,paper_ready,19.438045268,431.281605316,1494.591111754,1925.87271707,3.594013377633,12.454925931287,16.04893930892,25.107300809,81.644674985,5.075843,True,,,
div2k_valid,Ballé,q=3,actual_bitstream_energy,24,5,0.275475143,31.750362078,paper_ready,20.454960466,437.614692453,1513.295536275,1950.910228727,3.646789103772,12.610796135621,16.257585239394,25.174471855,82.299032869,5.075843,True,,,
div2k_valid,Ballé,q=5,actual_bitstream_energy,24,5,0.549626162,34.989274661,paper_ready,21.789896965,464.827901057,1522.794811231,1987.622712288,3.873565842143,12.689956760261,16.563522602404,25.090016204,82.233531973,5.075843,True,,,
div2k_valid,Ballé,q=7,actual_bitstream_energy,24,5,1.07053678,38.566862106,paper_ready,36.840738218,777.675541942,2709.481801019,3487.157342961,6.480629516183,22.57901500849,29.059644524674,24.750026877,82.152213701,11.816323,True,,,
div2k_valid,Cheng,q=1,actual_bitstream_energy,24,1,0.111397757,29.265476863,paper_ready,596.664292297,10918.205874015,20985.769170998,31903.975045013,454.925244750626,874.407048791591,1329.332293542217,25.136917475,82.472870363,13.183293,True,,,
div2k_valid,Cheng,q=3,actual_bitstream_energy,24,1,0.232367074,32.141282558,paper_ready,597.66771293,11164.874211765,14477.384746566,25642.258958331,465.203092156873,603.224364440258,1068.427456597131,25.039850451,90.503482258,13.183293,True,,,
div2k_valid,Cheng,q=5,actual_bitstream_energy,24,1,0.485797631,35.264254173,paper_ready,600.764671013,11599.604705689,17365.994287229,28965.598992917,483.316862737021,723.58309530119,1206.899958038212,23.532601415,88.173212022,29.631788,True,,,
div2k_valid,ELIC,lam=0.008,actual_bitstream_energy,24,3,0.07415163,28.289979537,paper_ready,40.077874875,1023.242481053,6146.315162551,7169.557643604,14.211701125738,85.365488368757,99.577189494496,23.647776707,85.392198267,33.792771,True,,,
div2k_valid,ELIC,lam=0.032,actual_bitstream_energy,24,3,0.177420083,31.434337536,paper_ready,40.782178318,1030.076906756,6183.282946108,7213.359852863,14.306623704943,85.878929807049,100.185553511992,23.69746414,86.420201158,33.792771,True,,,
div2k_valid,ELIC,lam=0.150,actual_bitstream_energy,24,3,0.407070752,35.075442791,paper_ready,42.108767195,1059.226090333,6090.707240353,7149.933330687,14.71147347685,84.593156116018,99.304629592868,23.521353976,90.587471772,33.792771,True,,,
div2k_valid,ELIC,lam=0.450,actual_bitstream_energy,24,3,0.69755641,37.721568743,paper_ready,43.131771124,1085.904761583,6199.636212281,7285.540973863,15.082010577535,86.106058503901,101.188069081436,23.380351053,88.41129609,33.792771,True,,,
div2k_valid,TCM,lam=0.0035,actual_bitstream_energy,24,3,0.18294961,31.74648579,paper_ready,37.83544377,801.646418393,8988.127362727,9789.77378112,11.133978033242,124.835102260096,135.969080293339,23.635617519,89.462797314,45.180752,True,,,
div2k_valid,TCM,lam=0.013,actual_bitstream_energy,24,3,0.36963782,34.744858742,paper_ready,38.486452418,816.434922598,9025.960555476,9842.395478074,11.339373924973,125.360563270495,136.699937195468,23.506450337,90.663057396,45.180752,True,,,
div2k_valid,DCAE,lam=0.0035,actual_bitstream_energy,24,3,0.160812493,31.675667048,paper_ready,46.707551569,973.249778574,14151.133436255,15124.383214829,13.517358035745,196.543519947985,210.06087798373,23.600188201,90.948196192,119.400351,True,,,
div2k_valid,DCAE,lam=0.013,actual_bitstream_energy,24,3,0.356369425,35.032461325,paper_ready,47.419834273,993.95938327,14163.950043751,15157.90942702,13.804991434302,196.721528385425,210.526519819727,23.53678512,90.608392503,119.400351,True,,,
div2k_valid,JPEG_AI,target_bpp=0.15,fair_inprocess_end_to_end_energy,24,1,0.152152206,29.248378913,paper_ready,768.034632652,11956.643348122,0.0,11956.643348122,498.193472838436,0.0,498.193472838436,24.772782412,82.904448246,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
div2k_valid,JPEG_AI,target_bpp=0.25,fair_inprocess_end_to_end_energy,24,1,0.26066364,31.231663863,paper_ready,654.722894988,13759.024407748,191.702060021,13950.726467769,573.292683656166,7.987585834192,581.280269490358,20.103503568,35.331810018,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
div2k_valid,JPEG_AI,target_bpp=0.35,fair_inprocess_end_to_end_energy,24,1,0.353249224,32.391216119,paper_ready,637.711470954,13451.625199419,0.0,13451.625199419,560.484383309141,0.0,560.484383309141,20.067816667,36.354252967,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
div2k_valid,JPEG_AI,target_bpp=0.5,fair_inprocess_end_to_end_energy,24,1,0.490319648,33.792365313,paper_ready,646.565900713,13608.198542994,0.0,13608.198542994,567.008272624759,0.0,567.008272624759,20.166499728,36.076464168,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
div2k_valid,JPEG_AI,target_bpp=0.75,fair_inprocess_end_to_end_energy,24,1,0.78824447,36.075283368,paper_ready,649.119058969,13468.772012829,0.0,13468.772012829,561.198833867887,0.0,561.198833867887,20.402913349,36.722680363,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
div2k_valid,JPEG_AI,target_bpp=1.0,fair_inprocess_end_to_end_energy,24,1,1.00576669,37.127864838,paper_ready,593.089240109,12294.804620674,0.0,12294.804620674,512.283525861412,0.0,512.283525861412,20.376782723,36.004719849,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
clic2020,JPEG,q=10,end_to_end_energy,24,20,0.292742026,27.274756908,paper_ready,2.603013081,46.139354809,0.0,46.139354809,0.096123655853,0.0,0.096123655853,25.101264249,80.06753194,0.0,False,,,
clic2020,JPEG,q=30,end_to_end_energy,24,20,0.577348846,30.941698472,paper_ready,3.114445919,53.151865857,0.0,53.151865857,0.110733053869,0.0,0.110733053869,25.313057986,80.001960498,0.0,False,,,
clic2020,JPEG,q=60,end_to_end_energy,24,20,0.912945185,33.082464774,paper_ready,3.562883641,45.137877457,0.0,45.137877457,0.094037244702,0.0,0.094037244702,25.657073246,80.066933063,0.0,False,,,
clic2020,JPEG,q=85,end_to_end_energy,24,20,1.652150207,36.102802038,paper_ready,4.428997015,72.72313391,0.0,72.72313391,0.151506528979,0.0,0.151506528979,20.469608533,36.801033201,0.0,False,,,
clic2020,JXL,d=1.0,end_to_end_energy,24,10,1.489370959,37.809195042,paper_ready,47.033226402,911.134042589,0.0,911.134042589,3.79639184412,0.0,3.79639184412,20.374755863,36.896958393,0.0,False,,,
clic2020,JXL,d=3.0,end_to_end_energy,24,10,0.617557376,33.624346097,paper_ready,42.746742463,835.22171395,0.0,835.22171395,3.48009047479,0.0,3.48009047479,20.399813712,35.806545284,0.0,False,,,
clic2020,JXL,d=7.0,end_to_end_energy,24,10,0.298826933,30.435032606,paper_ready,53.943164788,1091.64640655,0.0,1091.64640655,4.548526693959,0.0,4.548526693959,20.500131496,36.534980214,0.0,False,,,
clic2020,JXL,d=12.0,end_to_end_energy,24,10,0.190154148,28.671151161,paper_ready,53.061308422,1077.31577765,0.0,1077.31577765,4.488815740207,0.0,4.488815740207,20.246634663,36.624182542,0.0,False,,,
clic2020,HEVC,crf=15,end_to_end_energy,24,3,3.407053279,44.693529129,paper_ready,34.210634938,1569.538935528,0.0,1569.538935528,21.79915188233,0.0,21.79915188233,20.429796428,36.420785205,0.0,False,,,
