eval_dataset,codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
div2k_valid,DCAE,lam=0.0035,actual_bitstream,0.16081249276730772,31.67566704750061,0.9819029122591019,0.9648183236519495,0.2021688427776098,0.05966330816348389,0.9914364467064539,0.05497478181496258,0.5248485542833805,0.8500965982675552,0.8588365465402603,0.19347343221306798,31.93202813448059,651.633770419115
div2k_valid,DCAE,lam=0.013,actual_bitstream,0.35636942537066485,35.03246132532755,0.992814764380455,0.9836277340849241,0.12296033029754953,0.02816100666920339,0.9969939937194189,0.022737537200252168,0.6359960536162058,0.9292665968338648,0.9528554206093153,0.1478878706693649,59.27314991776213,658.3787388335622
div2k_valid,ELIC,lam=0.008,actual_bitstream,0.07415163002457427,28.289979537328083,0.9538051535685858,0.9259015197555224,0.31455438863486046,0.10577157884836193,0.9758127133051554,0.10453901859000321,0.40849925329287845,0.7281151562929153,0.6785144557555517,0.2505047259231408,-6.904212029663404,559.6494428330819
div2k_valid,ELIC,lam=0.032,actual_bitstream,0.17742008260720976,31.43433753649394,0.9810422112544378,0.9641235296924909,0.20907329876596725,0.05814980467160538,0.9908317203323046,0.054328728467225994,0.5164338561395804,0.8456806192795435,0.8609700625141462,0.1967504291484753,31.201282386929673,570.8169117915531
div2k_valid,ELIC,lam=0.150,actual_bitstream,0.407070752244286,35.07544279098511,0.9931245644887289,0.9842065473397573,0.1230998838630815,0.025870521863301552,0.9970746686061224,0.020882052641051464,0.6392064640919367,0.9325389638543129,0.9571304519971212,0.1454810282836357,60.661440706202704,588.9041215426308
div2k_valid,ELIC,lam=0.450,actual_bitstream,0.6975564100577297,37.721568743387856,0.9966037819782892,0.9911497483650843,0.07712805449652171,0.014443029959996504,0.9986731633543968,0.009728290295849195,0.7254943400621414,0.9663403406739235,0.9818225453297297,0.11735487232605613,73.5784057682143,605.7035035840576
div2k_valid,HEVC,crf=45,end_to_end,0.11251604254128587,27.30831774075826,0.9393847609559695,0.9174626568953196,0.3061262095967928,0.0820786207914352,0.9776131535569826,0.0868828406867881,0.3779160951574643,0.7089094047745069,0.7898750503857931,0.24951319769024846,-6.443697692193836,171.18733875031467
div2k_valid,HEVC,crf=35,end_to_end,0.4193498645119104,32.52558366457621,0.9825045267740885,0.9724263697862625,0.1257117725908756,0.025753768781820882,0.9957699577013651,0.02417994507898882,0.5942516773939133,0.8915911739071211,0.9621505563457807,0.16611876214543975,50.965674388486555,226.30898104095346
div2k_valid,HEVC,crf=25,end_to_end,1.2584951861115579,38.30483786265055,0.9959206034739813,0.9917605767647425,0.02692381672871604,0.006201624870300245,0.9990407228469849,0.004151681709724108,0.7937350223461787,0.9765395099918047,0.9944730401039124,0.10541714262217279,80.07156843546953,330.0124514577571
div2k_valid,HEVC,crf=15,end_to_end,3.170640667357515,44.21236594518026,0.999180443584919,0.997763030230999,0.0036293960050291165,0.0016594529151916,0.9996739700436592,0.0007342410996594666,0.9352969005703926,0.9960510085026423,0.9988786702354749,0.06885479716584081,91.27209683529213,497.03521487632923
div2k_valid,JPEG,q=10,end_to_end,0.3081968650369244,27.260127147038776,0.9321876242756844,0.9096195523937544,0.32415084727108473,0.08540866772333777,0.9775201256076494,0.08216164043794072,0.36300041278203327,0.6844556579987208,0.6528121903538704,0.2546070435394843,-13.141053544225784,6.082257374146138
div2k_valid,JPEG,q=30,end_to_end,0.6017811361523889,31.159674485524494,0.979152038693428,0.9666750008861223,0.13869931083172557,0.026677081982294657,0.9955388158559799,0.02036568406037981,0.5399061068892479,0.893379864593347,0.9434778218468031,0.1666698933889468,47.71565250945338,7.140145872957267
