dataset,codec,param,image,width,height,pixels,bpp,pipeline,time_ms,energy_total_j_x,energy_net_j,params_M,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,file_bytes,time_compress_ms,time_decompress_ms,energy_compress_j,energy_decompress_j,vram_enc_mb,vram_dec_mb,note,eval_dataset,energy_pipeline,energy_per_image_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_total_j_y,total_time_s,energy_n_images,n_repeats
kodak,Ballé,q=1,kodim21.png,768.0,512.0,393216.0,0.1402180989583333,actual_bitstream,26.93309499591124,,,5.076,26.87795639038086,0.8884456157684326,0.9369256496429444,0.3865926563739776,0.1771214604377746,0.9250003099441528,0.0894317850470542,0.3491902947425842,0.742287278175354,0.7223949432373047,0.3150592446327209,6.000804072410361,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim22.png,768.0,512.0,393216.0,0.1128743489583333,actual_bitstream,27.222868011449464,,,5.076,27.45996284484864,0.7812901735305786,0.8794216513633728,0.4842983484268188,0.2185558676719665,0.8935900926589966,0.1213485822081565,0.3163495659828186,0.6852163076400757,0.6383421421051025,0.3456911444664001,-20.880305102157152,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim23.png,768.0,512.0,393216.0,0.0797526041666666,actual_bitstream,26.95445499557536,,,5.076,30.80454635620117,0.9048838019371032,0.944161891937256,0.2410443723201751,0.1687294244766235,0.9472427368164062,0.0700967237353324,0.4956713914871216,0.8054667115211487,0.7505347728729248,0.2950018048286438,5.950212149190378,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim24.png,768.0,512.0,393216.0,0.1650390625,actual_bitstream,27.47589099453762,,,5.076,24.9831771850586,0.8301422595977783,0.9119561910629272,0.4157574474811554,0.2091089487075805,0.917622685432434,0.1119421944022178,0.3380454480648041,0.7114903926849365,0.6920548677444458,0.3401163816452026,-6.574805096621873,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=3,kodim01.png,768.0,512.0,393216.0,0.5277506510416666,actual_bitstream,29.0911350020906,,,5.076,28.695161819458008,0.939018726348877,0.9668729305267334,0.1914299577474594,0.0917340517044067,0.96946519613266,0.0469628050923347,0.4536184668540954,0.853388786315918,0.9189879298210144,0.2680698037147522,39.05475269736739,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim02.png,768.0,512.0,393216.0,0.2064615885416666,actual_bitstream,28.17801700439304,,,5.076,31.644664764404297,0.8755685687065125,0.932186245918274,0.310419350862503,0.1476263403892517,0.9493064880371094,0.0586200915277004,0.4059225916862488,0.8431944847106934,0.8487375378608704,0.2860833704471588,25.455189501193928,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim03.png,768.0,512.0,393216.0,0.1773274739583333,actual_bitstream,27.42383000440896,,,5.076,33.621307373046875,0.9388025999069214,0.9673904180526732,0.1936432421207428,0.1227336525917053,0.960399568080902,0.0438738502562046,0.5419350266456604,0.8736698031425476,0.8677769899368286,0.2669996619224548,36.18985647402738,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim04.png,512.0,768.0,393216.0,0.2185872395833333,actual_bitstream,27.39167999243364,,,5.076,31.90974235534668,0.9028355479240416,0.9496504068374634,0.2904175817966461,0.101414680480957,0.9611222147941588,0.0512796565890312,0.5024365186691284,0.8722642660140991,0.8554730415344238,0.2778311371803283,30.879849723223856,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim05.png,768.0,512.0,393216.0,0.5721028645833334,actual_bitstream,28.55313000327442,,,5.076,28.92619705200196,0.945858359336853,0.9723910093307496,0.1111834719777107,0.0491334199905395,0.9755814075469972,0.046063769608736,0.5073694586753845,0.8641188144683838,0.9113893508911132,0.2673771381378174,38.81853083795399,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim06.png,768.0,512.0,393216.0,0.3779296875,actual_bitstream,27.685922003001902,,,5.076,29.87171936035156,0.9195641875267028,0.9558359384536744,0.1984210312366485,0.1020874381065368,0.9666873812675476,0.054194401949644,0.4277305901050567,0.8571377992630005,0.8563050627708435,0.2799287140369415,25.018157855396424,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim07.png,768.0,512.0,393216.0,0.2547200520833333,actual_bitstream,27.474400005303323,,,5.076,32.971397399902344,0.9628879427909852,0.9800416827201844,0.1172284185886383,0.1061130762100219,0.9747228026390076,0.0354485623538494,0.5921653509140015,0.8862173557281494,0.9234257340431212,0.2489127516746521,46.21236020060488,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim08.png,768.0,512.0,393216.0,0.5956217447916666,actual_bitstream,29.09055500640534,,,5.076,28.16891098022461,0.9509217143058776,0.9741491675376892,0.1371194422245025,0.0912835001945495,0.975089967250824,0.047151394188404,0.509302020072937,0.8736544251441956,0.8962405920028687,0.2685444951057434,42.97339552356053,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim09.png,512.0,768.0,393216.0,0.1946614583333333,actual_bitstream,27.589132005232383,,,5.076,33.32526397705078,0.956273078918457,0.9751514196395874,0.2132524996995926,0.1208144426345825,0.9711559414863586,0.0352994836866855,0.5287817120552063,0.8769060373306274,0.9124876260757446,0.2440872937440872,45.20141244311955,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
