image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/chloe-benko-prieur-162.png,clic_train,Neural,4.0,0.39953,30.3771,0.41699,7421.31,OK
/home/user/tesi/datasets/clic2020/train/chris-adams-237.png,clic_train,Neural,2.0,0.45372,26.2239,0.25171,3500.36,OK
/home/user/tesi/datasets/clic2020/train/chris-becker-52648.png,clic_train,JXL,3.0,0.2991,37.2,0.0683,155.82,OK
/home/user/tesi/datasets/clic2020/train/chris-greenhow-135337.png,clic_train,Neural,4.0,0.41968,33.0123,0.18023,76.52,OK
/home/user/tesi/datasets/clic2020/train/christian-holzinger-1262.png,clic_train,JXL,3.0,0.3517,36.43,0.0878,155.66,OK
/home/user/tesi/datasets/clic2020/train/christopher-campbell-30253.png,clic_train,JPEG,60.0,0.35572,41.826,0.05345,257.51,OK
/home/user/tesi/datasets/clic2020/train/christopher-skor-1894.png,clic_train,HEVC,25.0,0.20385,38.248,0.05701,1763.02,OK
/home/user/tesi/datasets/clic2020/train/chuttersnap-255210.png,clic_train,HEVC,35.0,0.32899,24.6013,0.18896,1386.56,OK
/home/user/tesi/datasets/clic2020/train/cierra-59.png,clic_train,JXL,3.0,0.3762,37.62,0.0547,14.56,OK
/home/user/tesi/datasets/clic2020/train/clark-street-mercantile-33932.png,clic_train,JXL,3.0,0.4342,35.62,0.1397,154.93,OK
/home/user/tesi/datasets/clic2020/train/claudio-testa-135408.png,clic_train,Neural,4.0,0.3436,32.0041,0.1854,6697.99,OK
/home/user/tesi/datasets/clic2020/train/clem-onojeghuo-91150.png,clic_train,JXL,3.0,0.417,36.45,0.0717,145.37,OK
/home/user/tesi/datasets/clic2020/train/cole-patrick-404.png,clic_train,Neural,4.0,0.33694,33.7996,0.20845,4649.36,OK
/home/user/tesi/datasets/clic2020/train/cornelia-schutz-338.png,clic_train,Neural,2.0,0.30856,27.5264,0.2713,1359.62,OK
/home/user/tesi/datasets/clic2020/train/cosmic-timetraveler-29758.png,clic_train,JXL,3.0,0.4109,35.45,0.0763,157.0,OK
/home/user/tesi/datasets/clic2020/train/cosmic-timetraveler-39770.png,clic_train,JXL,3.0,0.4361,34.92,0.165,157.0,OK
/home/user/tesi/datasets/clic2020/train/cristian-baron-27348.png,clic_train,JXL,1.0,0.2366,44.65,0.067,127.07,OK
/home/user/tesi/datasets/clic2020/train/cristian-moscoso-61.png,clic_train,JXL,3.0,0.332,38.75,0.0954,155.01,OK
/home/user/tesi/datasets/clic2020/train/cristina-gottardi-177252.png,clic_train,JPEG,30.0,0.45811,30.5973,0.21962,334.54,OK
/home/user/tesi/datasets/clic2020/train/crucifix-jean-luc-1837.png,clic_train,JXL,3.0,0.3658,34.89,0.2014,126.94,OK
/home/user/tesi/datasets/clic2020/train/dakota-roos-1195.png,clic_train,JXL,7.0,0.4534,27.26,0.3191,146.02,OK
/home/user/tesi/datasets/clic2020/train/dan-carlson-88563.png,clic_train,HEVC,25.0,0.25336,38.9351,0.08275,1818.57,OK
/home/user/tesi/datasets/clic2020/train/daniel-beilinson-1695.png,clic_train,Neural,4.0,0.41423,32.6752,0.26235,5593.72,OK
/home/user/tesi/datasets/clic2020/train/daniel-genser-70.png,clic_train,JXL,3.0,0.3679,36.97,0.1528,34.35,OK
