file,dataset,codec,param,pesq,stoi,sdr,mel_dist,duration_s
Mu - Too Bright,musdb,WavTokenizer,0.9,1.2631,0.7023,3.176,0.803,10.0
Nerve 9 - Pray For The Rain,musdb,WavTokenizer,0.9,1.3318,0.4522,2.7935,0.7505,10.0
PR - Happy Daze,musdb,WavTokenizer,0.9,1.3388,0.8672,6.1207,0.8486,10.0
PR - Oh No,musdb,WavTokenizer,0.9,1.1831,0.8192,3.1237,0.7541,10.0
Punkdisco - Oral Hygiene,musdb,WavTokenizer,0.9,1.2253,0.7516,2.5462,0.6872,10.0
Raft Monk - Tiring,musdb,WavTokenizer,0.9,,0.307,1.6405,0.6536,10.0
Sambasevam Shanmugam - Kaathaadi,musdb,WavTokenizer,0.9,1.5775,0.5352,3.7129,0.8963,10.0
Secretariat - Borderline,musdb,WavTokenizer,0.9,1.0534,0.5194,3.4989,0.8009,10.0
Secretariat - Over The Top,musdb,WavTokenizer,0.9,1.2284,0.4261,2.7792,0.706,10.0
Side Effects Project - Sing With Me,musdb,WavTokenizer,0.9,1.1997,0.7057,1.4227,0.8774,10.0
Signe Jakobsen - What Have You Done To Me,musdb,WavTokenizer,0.9,1.2093,0.6823,0.049,0.8615,10.0
Skelpolu - Resurrection,musdb,WavTokenizer,0.9,1.0445,0.4898,5.8188,0.7147,10.0
Speak Softly - Broken Man,musdb,WavTokenizer,0.9,1.4068,0.4721,4.7614,0.8147,10.0
Speak Softly - Like Horses,musdb,WavTokenizer,0.9,1.8337,0.6509,4.6701,0.7301,10.0
The Doppler Shift - Atrophy,musdb,WavTokenizer,0.9,1.2127,0.2896,1.7585,0.6844,10.0
The Easton Ellises (Baumi) - SDRNR,musdb,WavTokenizer,0.9,1.1208,0.6332,2.3897,0.7651,10.0
The Easton Ellises - Falcon 69,musdb,WavTokenizer,0.9,1.2419,0.4837,0.9471,0.7511,10.0
The Long Wait - Dark Horses,musdb,WavTokenizer,0.9,1.2003,0.4727,2.498,0.8253,10.0
The Mountaineering Club - Mallory,musdb,WavTokenizer,0.9,1.9486,0.6886,3.2314,0.7619,10.0
The Sunshine Garcia Band - For I Am The Moon,musdb,WavTokenizer,0.9,1.2005,0.55,2.6088,0.8675,10.0
Timboz - Pony,musdb,WavTokenizer,0.9,1.0705,0.2305,0.2334,0.6048,10.0
Tom McKenzie - Directions,musdb,WavTokenizer,0.9,1.2035,0.6851,3.3942,0.8549,10.0
Triviul feat. The Fiend - Widow,musdb,WavTokenizer,0.9,1.0365,0.5639,0.7024,0.9695,10.0
We Fell From The Sky - Not You,musdb,WavTokenizer,0.9,1.2253,0.382,0.7515,0.6938,10.0
Zeno - Signs,musdb,WavTokenizer,0.9,1.2428,0.6194,1.2384,0.6894,10.0
