file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
174-50561-0019.flac,librispeech,EnCodec,3.0,3.0,2.0147,6.5092,2.4853,9.29,OK
174-50561-0019.flac,librispeech,EnCodec,6.0,6.0,2.629,5.9737,1.871,9.8,OK
174-50561-0002.flac,librispeech,Opus,12,11.49,4.0038,2.9927,0.4962,19.07,OK
174-50561-0002.flac,librispeech,Opus,24,21.33,4.5073,2.3597,-0.0073,19.06,OK
174-50561-0002.flac,librispeech,Opus,48,44.34,4.5402,2.1203,-0.0402,20.4,OK
174-50561-0002.flac,librispeech,EnCodec,1.5,1.5,1.6109,8.7212,2.8891,15.09,OK
174-50561-0002.flac,librispeech,EnCodec,3.0,3.0,2.3764,7.8819,2.1236,5.09,OK
174-50561-0002.flac,librispeech,EnCodec,6.0,6.0,2.8562,7.1254,1.6438,5.36,OK
174-50561-0000.flac,librispeech,Opus,12,11.91,3.9188,3.1051,0.5812,33.16,OK
174-50561-0000.flac,librispeech,Opus,24,22.73,4.4887,2.2788,0.0113,30.78,OK
174-50561-0000.flac,librispeech,Opus,48,46.33,4.5536,1.9789,-0.0536,32.15,OK
174-50561-0000.flac,librispeech,EnCodec,1.5,1.5,1.4381,7.4122,3.0619,21.98,OK
174-50561-0000.flac,librispeech,EnCodec,3.0,3.0,1.6037,6.4797,2.8963,8.8,OK
174-50561-0000.flac,librispeech,EnCodec,6.0,6.0,1.9947,5.8327,2.5053,9.46,OK
174-50561-0015.flac,librispeech,Opus,12,11.95,3.6454,3.5185,0.8546,91.88,OK
174-50561-0015.flac,librispeech,Opus,24,23.05,4.304,2.5743,0.196,94.17,OK
174-50561-0015.flac,librispeech,Opus,48,46.65,4.4514,2.0805,0.0486,101.82,OK
174-50561-0015.flac,librispeech,EnCodec,1.5,1.5,1.3369,7.9176,3.1631,40.16,OK
174-50561-0015.flac,librispeech,EnCodec,3.0,3.0,1.7159,6.8762,2.7841,34.24,OK
174-50561-0015.flac,librispeech,EnCodec,6.0,6.0,2.3058,6.1965,2.1942,34.92,OK
174-50561-0018.flac,librispeech,Opus,12,11.43,3.4469,3.4887,1.0531,26.04,OK
174-50561-0018.flac,librispeech,Opus,24,20.91,4.3976,2.3468,0.1024,21.57,OK
174-50561-0018.flac,librispeech,Opus,48,43.58,4.5083,1.9551,-0.0083,19.96,OK
174-50561-0018.flac,librispeech,EnCodec,1.5,1.5,1.793,7.3245,2.707,12.16,OK
174-50561-0018.flac,librispeech,EnCodec,3.0,3.0,2.0622,6.8988,2.4378,5.58,OK
174-50561-0018.flac,librispeech,EnCodec,6.0,6.0,2.4433,6.2413,2.0567,5.8,OK
174-50561-0016.flac,librispeech,Opus,12,12.02,4.001,3.1788,0.499,78.77,OK
174-50561-0016.flac,librispeech,Opus,24,23.22,4.5057,2.2705,-0.0057,88.37,OK
174-50561-0016.flac,librispeech,Opus,48,46.92,4.557,1.978,-0.057,95.07,OK
174-50561-0016.flac,librispeech,EnCodec,1.5,1.5,1.4767,7.4701,3.0233,38.31,OK
174-50561-0016.flac,librispeech,EnCodec,3.0,3.0,1.7814,6.4275,2.7186,27.16,OK
174-50561-0016.flac,librispeech,EnCodec,6.0,6.0,2.3169,5.726,2.1831,27.71,OK
174-50561-0010.flac,librispeech,Opus,12,11.99,3.8913,3.2393,0.6087,93.43,OK
174-50561-0010.flac,librispeech,Opus,24,23.19,4.5054,2.3149,-0.0054,95.77,OK
174-50561-0010.flac,librispeech,Opus,48,46.85,4.554,2.0158,-0.054,105.42,OK
174-50561-0010.flac,librispeech,EnCodec,1.5,1.5,1.3624,7.6325,3.1376,40.37,OK
174-50561-0010.flac,librispeech,EnCodec,3.0,3.0,1.6363,6.9184,2.8637,30.05,OK
174-50561-0010.flac,librispeech,EnCodec,6.0,6.0,2.0602,6.0643,2.4398,30.3,OK
174-50561-0017.flac,librispeech,Opus,12,11.45,3.7402,3.2119,0.7598,31.92,OK
174-50561-0017.flac,librispeech,Opus,24,21.19,4.4154,2.4256,0.0846,23.34,OK
174-50561-0017.flac,librispeech,Opus,48,43.62,4.5479,2.1497,-0.0479,25.46,OK
174-50561-0017.flac,librispeech,EnCodec,1.5,1.5,1.4489,6.9728,3.0511,16.07,OK
174-50561-0017.flac,librispeech,EnCodec,3.0,3.0,1.7912,6.475,2.7088,6.96,OK
174-50561-0017.flac,librispeech,EnCodec,6.0,6.0,2.4793,5.8636,2.0207,7.39,OK
174-50561-0008.flac,librispeech,Opus,12,11.79,3.86,3.2192,0.64,89.84,OK
174-50561-0008.flac,librispeech,Opus,24,22.67,4.4939,2.2587,0.0061,104.26,OK
174-50561-0008.flac,librispeech,Opus,48,46.15,4.5594,1.9646,-0.0594,112.29,OK
174-50561-0008.flac,librispeech,EnCodec,1.5,1.5,1.4788,7.7306,3.0212,42.21,OK
174-50561-0008.flac,librispeech,EnCodec,3.0,3.0,1.9388,6.4837,2.5612,33.65,OK
174-50561-0008.flac,librispeech,EnCodec,6.0,6.0,2.5835,5.8256,1.9165,32.97,OK
174-50561-0011.flac,librispeech,Opus,12,12.09,3.9896,3.2108,0.5104,67.72,OK
174-50561-0011.flac,librispeech,Opus,24,23.42,4.4855,2.3753,0.0145,68.94,OK
174-50561-0011.flac,librispeech,Opus,48,47.2,4.5533,2.0776,-0.0533,74.84,OK
174-50561-0011.flac,librispeech,EnCodec,1.5,1.5,1.3428,7.2654,3.1572,27.24,OK
174-50561-0011.flac,librispeech,EnCodec,3.0,3.0,1.7317,6.2283,2.7683,19.9,OK
174-50561-0011.flac,librispeech,EnCodec,6.0,6.0,2.2868,5.723,2.2132,20.22,OK
174-50561-0001.flac,librispeech,Opus,12,12.2,3.9565,3.1649,0.5435,99.06,OK
174-50561-0001.flac,librispeech,Opus,24,23.76,4.4797,2.3666,0.0203,99.91,OK
174-50561-0001.flac,librispeech,Opus,48,47.62,4.5481,2.066,-0.0481,109.46,OK
174-50561-0001.flac,librispeech,EnCodec,1.5,1.5,1.3816,7.5063,3.1184,32.44,OK
174-50561-0001.flac,librispeech,EnCodec,3.0,3.0,1.6662,6.5517,2.8338,32.2,OK
174-50561-0001.flac,librispeech,EnCodec,6.0,6.0,2.1068,5.6195,2.3932,31.96,OK
174-50561-0014.flac,librispeech,Opus,12,11.28,3.8563,3.0062,0.6437,23.7,OK
174-50561-0014.flac,librispeech,Opus,24,20.94,4.4495,2.462,0.0505,21.01,OK
174-50561-0014.flac,librispeech,Opus,48,42.81,4.4995,2.2528,0.0005,17.85,OK
174-50561-0014.flac,librispeech,EnCodec,1.5,1.5,1.7923,8.8698,2.7077,11.45,OK
174-50561-0014.flac,librispeech,EnCodec,3.0,3.0,2.2524,8.287,2.2476,4.92,OK
174-50561-0014.flac,librispeech,EnCodec,6.0,6.0,2.8755,7.7112,1.6245,5.06,OK
174-84280-0002.flac,librispeech,Opus,12,12.24,4.0288,3.22,0.4712,71.4,OK
174-84280-0002.flac,librispeech,Opus,24,24.01,4.5129,2.2585,-0.0129,83.02,OK
