file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-25777-A-48.wav,esc50,Opus,24.0,20.07,4.3358,2.445,0.1642,29.05,OK
1-25781-A-48.wav,esc50,Opus,24.0,23.08,4.3652,2.971,0.1348,35.18,OK
1-260640-A-2.wav,esc50,Opus,24.0,23.87,4.0452,3.1382,0.4548,36.04,OK
1-260640-B-2.wav,esc50,DAC,8.0,8.0,4.2348,2.0696,0.2652,17.23,OK
1-260640-C-2.wav,esc50,DAC,8.0,8.0,3.8016,3.0621,0.6984,17.05,OK
1-26143-A-21.wav,esc50,Opus,24.0,13.64,4.2277,1.9229,0.2723,32.63,OK
1-26176-A-43.wav,esc50,Opus,24.0,13.66,3.9874,1.8668,0.5126,29.79,OK
1-26177-A-43.wav,esc50,Opus,48.0,23.05,4.239,1.169,0.261,16.77,OK
1-26188-A-30.wav,esc50,DAC,8.0,8.0,4.3743,1.1101,0.1257,16.61,OK
1-26222-A-10.wav,esc50,Opus,12.0,10.75,1.0,3.1764,3.5,33.46,OK
1-26806-A-1.wav,esc50,Opus,24.0,17.46,3.3134,3.688,1.1866,18.74,OK
1-27165-A-35.wav,esc50,Opus,12.0,11.91,1.0,4.0076,3.5,33.25,OK
1-27166-A-35.wav,esc50,DAC,8.0,8.0,4.1955,2.2917,0.3045,16.46,OK
1-27403-A-28.wav,esc50,Opus,24.0,21.88,4.0258,2.9998,0.4742,30.46,OK
1-27405-A-28.wav,esc50,Opus,24.0,19.23,4.1551,2.3205,0.3449,21.9,OK
1-27724-A-1.wav,esc50,Opus,24.0,15.59,4.072,1.9321,0.428,32.61,OK
1-28005-A-18.wav,esc50,Opus,24.0,23.52,4.1223,3.0107,0.3777,35.92,OK
1-28135-A-11.wav,esc50,Opus,24.0,21.0,3.7066,3.3352,0.7934,34.97,OK
1-28135-B-11.wav,esc50,Opus,24.0,21.63,3.8412,3.1239,0.6588,36.13,OK
1-28808-A-43.wav,esc50,DAC,8.0,8.0,4.473,1.9963,0.027,16.05,OK
1-29532-A-16.wav,esc50,Opus,24.0,23.43,3.7099,3.0255,0.7901,36.16,OK
1-29561-A-10.wav,esc50,Opus,24.0,21.83,4.0603,3.2227,0.4397,36.5,OK
1-29680-A-21.wav,esc50,Opus,24.0,15.4,4.222,1.5826,0.278,31.7,OK
1-30039-A-26.wav,esc50,Opus,24.0,23.03,3.6033,2.984,0.8967,36.35,OK
1-30043-A-26.wav,esc50,Opus,24.0,18.24,3.9895,2.5815,0.5105,34.13,OK
1-30214-A-18.wav,esc50,Opus,24.0,22.57,4.1499,2.8578,0.3501,36.83,OK
1-30226-A-0.wav,esc50,Opus,24.0,23.22,4.3118,2.8687,0.1882,34.51,OK
