codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path,codec_label,reference_preset
x265,HEVC,HoneyBee,LDP,medium,crf=22,600,0,1,1.362,87.65,41.246,40.906,42.238,41.328,0.96037,0.99029,2.822,210.246,0.0,210.246,24.62,35.97,0.404,17.472,0.0,17.472,24.63,36.03,227.718,0.0,227.718,0.2277,0.38,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf22.265,x265 medium,medium
x265,HEVC,HoneyBee,LDP,medium,crf=27,600,0,1,0.472,77.601,39.271,38.336,40.137,39.262,0.94727,0.98401,2.646,175.761,0.0,175.761,24.33,36.37,0.357,15.241,0.0,15.241,24.47,35.87,191.002,0.0,191.002,0.191,0.318,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf27.265,x265 medium,medium
x265,HEVC,HoneyBee,LDP,medium,crf=32,600,0,1,0.282,64.775,36.871,36.563,38.492,37.035,0.9245,0.97188,2.575,162.029,0.0,162.029,24.51,36.12,0.366,14.977,0.0,14.977,24.56,36.23,177.006,0.0,177.006,0.177,0.295,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf32.265,x265 medium,medium
x265,HEVC,HoneyBee,LDP,medium,crf=37,600,0,1,0.202,46.13,34.04,35.415,38.401,34.757,0.88849,0.9468,2.578,157.909,0.0,157.909,24.34,35.34,0.343,14.122,0.0,14.122,24.5,36.21,172.031,0.0,172.031,0.172,0.287,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf37.265,x265 medium,medium
x265,HEVC,Jockey,LDP,medium,crf=22,600,0,1,7.553,95.731,41.926,43.451,43.373,42.298,0.95796,0.98759,6.559,533.743,0.0,533.743,24.38,36.29,0.716,32.205,0.0,32.205,24.64,36.22,565.948,0.0,565.948,0.5659,0.943,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf22.265,x265 medium,medium
x265,HEVC,Jockey,LDP,medium,crf=27,600,0,1,4.06,87.471,40.064,41.678,41.775,40.48,0.94672,0.98001,5.097,404.85,0.0,404.85,24.51,36.18,0.592,27.211,0.0,27.211,24.55,35.86,432.061,0.0,432.061,0.4321,0.72,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf27.265,x265 medium,medium
x265,HEVC,Jockey,LDP,medium,crf=32,600,0,1,2.313,73.404,37.47,40.14,40.307,38.158,0.9249,0.96347,4.062,319.666,0.0,319.666,24.47,35.76,0.518,23.372,0.0,23.372,24.64,35.85,343.038,0.0,343.038,0.343,0.572,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf32.265,x265 medium,medium
x265,HEVC,Jockey,LDP,medium,crf=37,600,0,1,1.261,55.562,34.407,38.346,38.492,35.41,0.89131,0.93145,3.316,254.942,0.0,254.942,24.36,36.44,0.463,20.496,0.0,20.496,24.52,36.09,275.438,0.0,275.438,0.2754,0.459,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf37.265,x265 medium,medium
x265,HEVC,ReadySteadyGo,LDP,medium,crf=22,600,0,1,19.174,99.66,40.076,42.098,42.138,40.586,0.97232,0.99292,8.024,611.765,0.0,611.765,24.73,36.15,1.176,44.163,0.0,44.163,24.55,35.89,655.928,0.0,655.928,0.6559,1.093,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf22.265,x265 medium,medium
x265,HEVC,ReadySteadyGo,LDP,medium,crf=27,600,0,1,9.985,96.317,37.043,39.78,40.017,37.757,0.95292,0.98568,6.26,468.49,0.0,468.49,24.4,37.21,0.896,35.185,0.0,35.185,24.49,36.36,503.675,0.0,503.675,0.5037,0.839,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf27.265,x265 medium,medium
