codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
x265,ReadySteadyGo,RA,crf=32,decode,600,0.489,26.439,0.0,26.439,24.6,36.28,4.481,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf32.265
x265,ReadySteadyGo,RA,crf=37,encode,600,6.404,586.299,0.0,586.299,24.58,36.13,2.323,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf37.265
x265,ReadySteadyGo,RA,crf=37,decode,600,0.424,23.799,0.0,23.799,24.57,35.79,2.323,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf37.265
x265,ShakeNDry,LDP,crf=22,encode,300,4.217,338.924,0.0,338.924,24.44,36.09,20.017,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf22.265
x265,ShakeNDry,LDP,crf=22,decode,300,0.498,17.762,0.0,17.762,24.79,36.08,20.017,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf22.265
x265,ShakeNDry,LDP,crf=27,encode,300,2.911,219.268,0.0,219.268,24.4,36.3,8.134,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf27.265
x265,ShakeNDry,LDP,crf=27,decode,300,0.356,12.384,0.0,12.384,24.63,36.08,8.134,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf27.265
x265,ShakeNDry,LDP,crf=32,encode,300,1.911,139.436,0.0,139.436,24.34,36.25,2.784,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf32.265
x265,ShakeNDry,LDP,crf=32,decode,300,0.271,9.23,0.0,9.23,24.68,36.34,2.784,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf32.265
x265,ShakeNDry,LDP,crf=37,encode,300,1.35,94.666,0.0,94.666,24.33,36.35,0.817,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf37.265
x265,ShakeNDry,LDP,crf=37,decode,300,0.22,7.199,0.0,7.199,24.52,36.31,0.817,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf37.265
x265,ShakeNDry,RA,crf=22,encode,300,4.502,446.319,0.0,446.319,24.41,35.81,14.695,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf22.265
x265,ShakeNDry,RA,crf=22,decode,300,0.294,12.622,0.0,12.622,24.8,35.78,14.695,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf22.265
x265,ShakeNDry,RA,crf=27,encode,300,3.737,338.864,0.0,338.864,24.36,36.03,6.285,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf27.265
x265,ShakeNDry,RA,crf=27,decode,300,0.246,9.341,0.0,9.341,24.58,36.25,6.285,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf27.265
x265,ShakeNDry,RA,crf=32,encode,300,2.945,262.727,0.0,262.727,24.33,36.18,2.361,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf32.265
x265,ShakeNDry,RA,crf=32,decode,300,0.235,7.854,0.0,7.854,24.64,36.4,2.361,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf32.265
x265,ShakeNDry,RA,crf=37,encode,300,2.696,229.962,0.0,229.962,24.3,36.52,0.933,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf37.265
x265,ShakeNDry,RA,crf=37,decode,300,0.221,6.894,0.0,6.894,24.57,36.55,0.933,/home/user/tesi/bitstreams_video/x265_ShakeNDry_RA_crf37.265
x265,YachtRide,LDP,crf=22,encode,600,10.669,820.862,0.0,820.862,24.42,35.83,31.684,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf22.265
x265,YachtRide,LDP,crf=22,decode,600,1.5,55.571,0.0,55.571,24.56,36.31,31.684,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf22.265
x265,YachtRide,LDP,crf=27,encode,600,8.214,602.589,0.0,602.589,24.44,36.44,15.185,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf27.265
x265,YachtRide,LDP,crf=27,decode,600,1.081,42.248,0.0,42.248,24.58,36.87,15.185,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf27.265
x265,YachtRide,LDP,crf=32,encode,600,6.078,427.943,0.0,427.943,24.47,36.51,6.593,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf32.265
x265,YachtRide,LDP,crf=32,decode,600,0.789,31.93,0.0,31.93,24.65,36.59,6.593,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf32.265
x265,YachtRide,LDP,crf=37,encode,600,4.189,289.523,0.0,289.523,24.47,36.59,2.453,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf37.265
x265,YachtRide,LDP,crf=37,decode,600,0.585,24.466,0.0,24.466,24.57,35.99,2.453,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf37.265
x265,YachtRide,RA,crf=22,encode,600,11.295,1102.566,0.0,1102.566,24.48,36.47,23.375,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf22.265
x265,YachtRide,RA,crf=22,decode,600,0.788,45.355,0.0,45.355,24.6,38.18,23.375,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf22.265
x265,YachtRide,RA,crf=27,encode,600,8.959,841.162,0.0,841.162,24.46,36.67,11.048,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf27.265
x265,YachtRide,RA,crf=27,decode,600,0.599,33.395,0.0,33.395,24.61,36.51,11.048,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf27.265
x265,YachtRide,RA,crf=32,encode,600,7.176,659.062,0.0,659.062,24.48,36.66,4.674,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf32.265
x265,YachtRide,RA,crf=32,decode,600,0.462,26.406,0.0,26.406,24.8,35.71,4.674,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf32.265
x265,YachtRide,RA,crf=37,encode,600,6.112,547.758,0.0,547.758,24.38,36.08,1.758,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf37.265
x265,YachtRide,RA,crf=37,decode,600,0.389,21.481,0.0,21.481,24.62,36.47,1.758,/home/user/tesi/bitstreams_video/x265_YachtRide_RA_crf37.265
