codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path
dcvc_fm,DCVC-FM,ReadySteadyGo,LDP,,q=63,600,1,0,13.456,99.938,42.285,45.787,44.917,43.052,0.98029,0.99521,179.527,3848.139,68622.908,72471.047,21.77,48.21,,,,,,,3848.139,68622.908,72471.047,72.471,120.785,
dcvc_fm,DCVC-FM,ShakeNDry,LDP,,q=0,300,1,0,0.135,19.1,28.679,37.02,38.198,30.912,0.7302,0.81966,92.674,1874.411,33788.505,35662.916,22.63,57.22,,,,,,,1874.411,33788.505,35662.916,35.6629,118.876,
dcvc_fm,DCVC-FM,ShakeNDry,LDP,,q=21,300,1,0,0.435,49.123,32.932,39.766,40.871,34.778,0.85467,0.92285,89.68,1595.238,31081.963,32677.201,25.29,83.41,,,,,,,1595.238,31081.963,32677.201,32.6772,108.924,
dcvc_fm,DCVC-FM,ShakeNDry,LDP,,q=42,300,1,0,2.446,72.977,36.434,41.849,42.36,37.852,0.91653,0.96439,89.896,1625.39,31013.935,32639.325,25.03,83.27,,,,,,,1625.39,31013.935,32639.325,32.6393,108.798,
dcvc_fm,DCVC-FM,ShakeNDry,LDP,,q=63,300,1,0,14.694,89.976,40.657,43.675,43.803,41.428,0.96252,0.98932,89.62,1611.531,31351.434,32962.965,25.01,83.07,,,,,,,1611.531,31351.434,32962.965,32.963,109.877,
dcvc_fm,DCVC-FM,YachtRide,LDP,,q=0,600,1,0,0.178,23.385,26.838,38.197,35.923,29.394,0.73325,0.7785,185.362,3228.703,62768.19,65996.893,25.42,83.32,,,,,,,3228.703,62768.19,65996.893,65.9969,109.995,
dcvc_fm,DCVC-FM,YachtRide,LDP,,q=21,600,1,0,1.014,45.111,30.5,41.709,40.233,33.118,0.81822,0.88834,179.425,3833.353,68765.501,72598.854,21.62,50.22,,,,,,,3833.353,68765.501,72598.854,72.5989,120.998,
dcvc_fm,DCVC-FM,YachtRide,LDP,,q=42,600,1,0,5.884,76.536,35.481,44.825,43.606,37.665,0.91914,0.96338,179.412,3659.164,66815.457,70474.621,22.62,60.06,,,,,,,3659.164,66815.457,70474.621,70.4746,117.458,
dcvc_fm,DCVC-FM,YachtRide,LDP,,q=63,600,1,0,22.914,95.439,41.105,47.057,45.839,42.441,0.97132,0.99038,179.975,3604.602,68377.48,71982.082,23.05,54.58,,,,,,,3604.602,68377.48,71982.082,71.9821,119.97,
dcvc_rt,DCVC-RT (forward),Beauty,LDP,,q=0,600,1,0,0.147,31.378,33.701,38.719,39.823,35.093,0.86039,0.93047,32.382,638.335,7597.993,8236.328,25.17,79.22,,,,,,,638.335,7597.993,8236.328,8.2363,13.727,
dcvc_rt,DCVC-RT (forward),Beauty,LDP,,q=21,600,1,0,0.455,57.306,36.697,39.141,41.247,37.571,0.88266,0.95917,32.201,727.31,8558.977,9286.287,22.28,51.65,,,,,,,727.31,8558.977,9286.287,9.2863,15.477,
dcvc_rt,DCVC-RT (forward),Beauty,LDP,,q=42,600,1,0,1.556,76.775,38.599,39.322,41.665,39.072,0.89964,0.973,32.283,733.795,8668.502,9402.297,22.04,50.57,,,,,,,733.795,8668.502,9402.297,9.4023,15.67,
dcvc_rt,DCVC-RT (forward),Beauty,LDP,,q=63,600,1,0,5.818,87.924,39.585,39.446,41.882,39.855,0.90935,0.97877,32.206,738.789,8814.018,9552.807,21.84,47.7,,,,,,,738.789,8814.018,9552.807,9.5528,15.921,
dcvc_rt,DCVC-RT (forward),Bosphorus,LDP,,q=0,600,1,0,0.156,37.418,31.614,41.752,40.776,34.026,0.82632,0.87626,32.546,725.5,8412.803,9138.303,23.27,60.66,,,,,,,725.5,8412.803,9138.303,9.1383,15.231,
dcvc_rt,DCVC-RT (forward),Bosphorus,LDP,,q=21,600,1,0,0.717,66.357,36.388,45.042,44.535,38.488,0.91363,0.95855,32.333,723.348,8719.538,9442.886,22.44,53.57,,,,,,,723.348,8719.538,9442.886,9.4429,15.738,
dcvc_rt,DCVC-RT (forward),Bosphorus,LDP,,q=42,600,1,0,2.88,84.866,40.291,47.213,46.582,41.942,0.95784,0.98455,32.227,753.737,8929.731,9683.468,22.0,48.01,,,,,,,753.737,8929.731,9683.468,9.6835,16.139,
dcvc_rt,DCVC-RT (forward),Bosphorus,LDP,,q=63,600,1,0,10.089,93.689,43.709,48.765,47.917,44.867,0.9772,0.99328,32.291,685.613,8475.678,9161.291,23.7,62.81,,,,,,,685.613,8475.678,9161.291,9.1613,15.269,
