codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
vvenc,ReadySteadyGo,LDP,crf=39,encode,600,90.253,6643.173,0.0,6643.173,24.66,35.67,1.98,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf39.266
vvenc,ReadySteadyGo,LDP,crf=39,decode,600,1.133,101.212,0.0,101.212,24.58,36.39,1.98,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf39.266
vvenc,ReadySteadyGo,LDP,crf=45,encode,600,61.467,4394.564,0.0,4394.564,24.7,36.41,0.798,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf45.266
vvenc,ReadySteadyGo,LDP,crf=45,decode,600,1.041,90.545,0.0,90.545,24.68,35.76,0.798,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf45.266
vvenc,ReadySteadyGo,RA,crf=27,encode,600,195.05,14666.684,0.0,14666.684,24.48,36.09,9.133,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf27.266
vvenc,ReadySteadyGo,RA,crf=27,decode,600,1.534,138.492,0.0,138.492,24.62,35.59,9.133,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf27.266
vvenc,ReadySteadyGo,RA,crf=33,encode,600,129.993,9493.515,0.0,9493.515,24.51,35.46,4.117,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf33.266
vvenc,ReadySteadyGo,RA,crf=33,decode,600,1.271,113.83,0.0,113.83,24.61,35.79,4.117,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf33.266
vvenc,ReadySteadyGo,RA,crf=39,encode,600,90.561,6659.077,0.0,6659.077,24.63,35.91,1.98,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf39.266
vvenc,ReadySteadyGo,RA,crf=39,decode,600,1.142,101.486,0.0,101.486,24.63,36.06,1.98,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf39.266
vvenc,ReadySteadyGo,RA,crf=45,encode,600,61.682,4409.334,0.0,4409.334,24.63,35.95,0.798,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf45.266
vvenc,ReadySteadyGo,RA,crf=45,decode,600,1.042,89.85,0.0,89.85,24.67,35.93,0.798,/dev/shm/bitstreams/vvenc_ReadySteadyGo_RA_crf45.266
vvenc,ShakeNDry,LDP,crf=27,encode,300,104.206,8879.012,0.0,8879.012,24.49,35.32,13.359,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf27.266
vvenc,ShakeNDry,LDP,crf=27,decode,300,0.847,70.282,0.0,70.282,24.59,35.4,13.359,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf27.266
vvenc,ShakeNDry,LDP,crf=33,encode,300,55.56,4268.894,0.0,4268.894,24.78,35.31,3.942,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf33.266
vvenc,ShakeNDry,LDP,crf=33,decode,300,0.66,49.314,0.0,49.314,24.61,35.83,3.942,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf33.266
vvenc,ShakeNDry,LDP,crf=39,encode,300,30.573,2249.743,0.0,2249.743,24.53,35.78,1.202,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf39.266
vvenc,ShakeNDry,LDP,crf=39,decode,300,0.572,38.648,0.0,38.648,24.56,35.55,1.202,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf39.266
vvenc,ShakeNDry,LDP,crf=45,encode,300,20.308,1450.574,0.0,1450.574,24.54,35.01,0.517,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf45.266
vvenc,ShakeNDry,LDP,crf=45,decode,300,0.531,33.479,0.0,33.479,24.57,35.53,0.517,/dev/shm/bitstreams/vvenc_ShakeNDry_LDP_crf45.266
vvenc,ShakeNDry,RA,crf=27,encode,300,103.992,8875.352,0.0,8875.352,24.5,34.65,13.359,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf27.266
vvenc,ShakeNDry,RA,crf=27,decode,300,0.843,69.75,0.0,69.75,24.61,35.29,13.359,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf27.266
vvenc,ShakeNDry,RA,crf=33,encode,300,54.725,4261.425,0.0,4261.425,24.7,35.75,3.942,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf33.266
vvenc,ShakeNDry,RA,crf=33,decode,300,0.666,49.697,0.0,49.697,24.55,35.0,3.942,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf33.266
vvenc,ShakeNDry,RA,crf=39,encode,300,30.976,2245.127,0.0,2245.127,24.57,35.54,1.202,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf39.266
vvenc,ShakeNDry,RA,crf=39,decode,300,0.568,38.397,0.0,38.397,24.59,35.62,1.202,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf39.266
vvenc,ShakeNDry,RA,crf=45,encode,300,20.318,1454.749,0.0,1454.749,24.53,36.06,0.517,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf45.266
vvenc,ShakeNDry,RA,crf=45,decode,300,0.535,33.908,0.0,33.908,24.61,37.09,0.517,/dev/shm/bitstreams/vvenc_ShakeNDry_RA_crf45.266
vvenc,YachtRide,LDP,crf=27,encode,600,296.727,24375.032,0.0,24375.032,24.5,35.59,19.666,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf27.266
vvenc,YachtRide,LDP,crf=27,decode,600,1.873,185.271,0.0,185.271,24.57,35.06,19.666,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf27.266
vvenc,YachtRide,LDP,crf=33,encode,600,174.936,13393.083,0.0,13393.083,24.8,35.35,6.737,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf33.266
vvenc,YachtRide,LDP,crf=33,decode,600,1.43,137.417,0.0,137.417,24.44,36.06,6.737,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf33.266
vvenc,YachtRide,LDP,crf=39,encode,600,104.87,7646.102,0.0,7646.102,24.8,36.1,2.312,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf39.266
vvenc,YachtRide,LDP,crf=39,decode,600,1.205,112.597,0.0,112.597,24.62,36.11,2.312,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf39.266
vvenc,YachtRide,LDP,crf=45,encode,600,69.273,4593.23,0.0,4593.23,24.56,36.04,0.822,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf45.266
vvenc,YachtRide,LDP,crf=45,decode,600,1.079,97.272,0.0,97.272,24.84,35.32,0.822,/dev/shm/bitstreams/vvenc_YachtRide_LDP_crf45.266
vvenc,YachtRide,RA,crf=27,encode,600,298.555,24442.567,0.0,24442.567,24.54,35.55,19.666,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf27.266
vvenc,YachtRide,RA,crf=27,decode,600,1.879,184.912,0.0,184.912,24.62,35.51,19.666,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf27.266
vvenc,YachtRide,RA,crf=33,encode,600,174.191,13409.653,0.0,13409.653,24.6,35.87,6.737,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf33.266
vvenc,YachtRide,RA,crf=33,decode,600,1.43,137.126,0.0,137.126,24.58,35.53,6.737,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf33.266
vvenc,YachtRide,RA,crf=39,encode,600,104.88,7659.247,0.0,7659.247,24.55,35.62,2.312,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf39.266
vvenc,YachtRide,RA,crf=39,decode,600,1.2,111.325,0.0,111.325,24.62,34.72,2.312,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf39.266
vvenc,YachtRide,RA,crf=45,encode,600,69.533,4583.582,0.0,4583.582,24.6,35.27,0.822,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf45.266
vvenc,YachtRide,RA,crf=45,decode,600,1.073,97.28,0.0,97.28,24.61,36.44,0.822,/dev/shm/bitstreams/vvenc_YachtRide_RA_crf45.266
