codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
svtav1,ShakeNDry,LDP,p5,crf=35,encode,300,7.363,363.628,0.0,363.628,24.53,36.71,17.794,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf35.ivf
svtav1,ShakeNDry,LDP,p5,crf=35,decode,300,0.305,10.672,0.0,10.672,24.4,36.29,17.794,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf35.ivf
svtav1,ShakeNDry,LDP,p5,crf=43,encode,300,6.392,316.566,0.0,316.566,24.48,36.53,7.832,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf43.ivf
svtav1,ShakeNDry,LDP,p5,crf=43,decode,300,0.219,6.249,0.0,6.249,24.39,36.4,7.832,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf43.ivf
svtav1,ShakeNDry,LDP,p5,crf=51,encode,300,6.439,322.618,0.0,322.618,24.3,36.62,3.001,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf51.ivf
svtav1,ShakeNDry,LDP,p5,crf=51,decode,300,0.18,4.747,0.0,4.747,24.46,36.6,3.001,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf51.ivf
svtav1,ShakeNDry,RA,p5,crf=27,encode,300,2.9,248.252,0.0,248.252,24.31,36.77,24.178,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf27.ivf
svtav1,ShakeNDry,RA,p5,crf=27,decode,300,0.374,12.502,0.0,12.502,24.31,35.91,24.178,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf27.ivf
svtav1,ShakeNDry,RA,p5,crf=35,encode,300,2.904,251.918,0.0,251.918,24.45,36.44,13.13,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf35.ivf
svtav1,ShakeNDry,RA,p5,crf=35,decode,300,0.298,8.813,0.0,8.813,24.78,36.41,13.13,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf35.ivf
