codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
svtav1,ShakeNDry,RA,p10,crf=51,72.688,36.169,41.094,41.751,37.483,0.91781,0.96348,300
svtav1,YachtRide,LDP,p2,crf=27,98.741,43.376,45.182,44.336,43.722,0.9805,0.99439,600
svtav1,YachtRide,LDP,p2,crf=35,94.815,40.679,43.634,42.69,41.299,0.96891,0.98947,600
svtav1,YachtRide,LDP,p2,crf=43,86.787,37.813,42.277,41.242,38.8,0.94827,0.97962,600
svtav1,YachtRide,LDP,p2,crf=51,73.839,35.037,40.95,39.906,36.385,0.91547,0.96171,600
svtav1,YachtRide,LDP,p10,crf=27,97.662,41.058,44.85,44.049,41.906,0.97144,0.99159,600
svtav1,YachtRide,LDP,p10,crf=35,92.917,38.828,43.36,42.479,39.851,0.95864,0.98578,600
svtav1,YachtRide,LDP,p10,crf=43,84.609,36.557,41.978,40.976,37.787,0.93884,0.97571,600
svtav1,YachtRide,LDP,p10,crf=51,71.481,34.042,40.558,39.484,35.536,0.90625,0.95714,600
svtav1,YachtRide,RA,p2,crf=27,96.916,41.958,44.936,43.959,42.58,0.97553,0.9923,600
svtav1,YachtRide,RA,p2,crf=35,92.247,39.73,44.006,42.953,40.667,0.96454,0.9875,600
svtav1,YachtRide,RA,p2,crf=43,84.671,37.445,43.198,42.069,38.742,0.94784,0.97944,600
svtav1,YachtRide,RA,p2,crf=51,75.216,35.441,42.554,41.412,37.077,0.92688,0.96822,600
svtav1,YachtRide,RA,p10,crf=27,94.624,39.736,44.496,43.618,40.817,0.9643,0.98853,600
svtav1,YachtRide,RA,p10,crf=35,87.933,37.761,43.311,42.34,39.028,0.95024,0.98144,600
svtav1,YachtRide,RA,p10,crf=43,78.609,35.776,42.261,41.173,37.261,0.93036,0.97118,600
svtav1,YachtRide,RA,p10,crf=51,66.515,33.743,41.394,40.19,35.505,0.90333,0.95561,600
svtav1,Beauty,LDP,p2,crf=27,90.756,40.402,39.959,42.002,40.546,0.92377,0.9841,600
