codec_a,codec_b,seq,bd_rate,bd_rate_valid,bd_rate_e,bd_rate_e_valid,bd_rate_e_bins,bd_volume,bd_volume_valid,overlap_d,overlap_e_dec,pareto_hv,pareto_hv_valid,epsilon,epsilon_valid
dcvc_rt_cuda,x265,HoneyBee,-72.91446087279716,True,,False,0,,False,0,0,0.5065577433105816,True,0.1434723073042412,True
svtav1,dcvc_dc,HoneyBee,6.830372741173107,True,,False,0,,False,0,0,-0.9942718196399815,True,0.82164241310326,True
svtav1,dcvc_fm,HoneyBee,-9.312219504878794,True,,False,0,,False,0,0,-0.9854097955123283,True,0.8142723787452575,True
svtav1,dcvc_rt,HoneyBee,-19.915349687415528,True,,False,0,,False,0,0,-0.6355496581813591,True,0.5125925506879044,True
svtav1,dcvc_rt_cuda,HoneyBee,-19.836461198985866,True,,False,0,,False,0,0,-0.5827345647881021,True,0.46750082098940315,True
svtav1,vvenc,HoneyBee,-5.9857730584193085,True,,False,0,,False,0,0,-0.3775462682367057,True,0.2787349579787158,True
svtav1,x264,HoneyBee,300.1175147717444,True,,False,0,,False,0,0,-0.3689883507940764,True,0.338717476530393,True
svtav1,x265,HoneyBee,155.97821390064252,True,,False,0,,False,0,0,-0.15437839067250309,True,0.190059467923251,True
vvenc,dcvc_dc,HoneyBee,4.166590848673812,True,,False,0,,False,0,0,-0.9907974198438948,True,0.5429074551245443,True
vvenc,dcvc_fm,HoneyBee,-17.923333929216202,True,,False,0,,False,0,0,-0.9765601783021843,True,0.5355374207665418,True
